"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\todo.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\version.cpp", "C++", 0, 8, 0, 2, 10
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\general\version.h", "C++", 0, 13, 6, 4, 23
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\hostinterface\hostinterface.cpp", "C++", 0, 55, 6, 12, 73
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\hostinterface\hostinterface.h", "C++", 0, 23, 9, 11, 43
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\hostinterface\hostinterface_uart.h", "C++", 0, 12, 9, 6, 27
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\hostinterface\hostinterface_uart_MK64FX512_MK66FX1M0.cpp", "C++", 0, 59, 7, 16, 82
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\machine\machineproperties.cpp", "C++", 0, 5, 8, 4, 17
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\machine\machineproperties.h", "C++", 0, 68, 7, 16, 91
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\event.cpp", "C++", 0, 83, 0, 2, 85
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\event.h", "C++", 0, 30, 6, 4, 40
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\eventbuffer.cpp", "C++", 0, 57, 3, 8, 68
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\eventbuffer.h", "C++", 0, 20, 6, 4, 30
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\homingstate.cpp", "C++", 0, 50, 0, 2, 52
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\homingstate.h", "C++", 0, 19, 6, 4, 29
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\mainstate.cpp", "C++", 0, 23, 0, 2, 25
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\mainstate.h", "C++", 0, 10, 6, 2, 18
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\probingstate.cpp", "C++", 0, 17, 0, 1, 18
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\probingstate.h", "C++", 0, 8, 6, 3, 17
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\maincontroller\todo.md", "Markdown", 4, 0, 0, 0, 4
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motion.cpp", "C++", 0, 387, 29, 40, 456
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motion.h", "C++", 0, 33, 6, 13, 52
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionbuffer.cpp", "C++", 0, 37, 8, 10, 55
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionbuffer.h", "C++", 0, 21, 6, 6, 33
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motioncalculatedirection.h", "C++", 0, 6, 6, 2, 14
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionctrl.cpp", "C++", 0, 198, 22, 26, 246
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionctrl.h", "C++", 0, 42, 6, 13, 61
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionperipherals.cpp", "C++", 0, 13, 0, 3, 16
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionperipherals.h", "C++", 0, 17, 6, 5, 28
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionspeedprofile.cpp", "C++", 0, 25, 1, 6, 32
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionspeedprofile.h", "C++", 0, 26, 6, 6, 38
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionstate.cpp", "C++", 0, 18, 0, 1, 19
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motionstate.h", "C++", 0, 8, 6, 3, 17
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motiontrajectory.cpp", "C++", 0, 62, 8, 11, 81
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motiontrajectory.h", "C++", 0, 20, 10, 9, 39
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motiontype.cpp", "C++", 0, 29, 0, 3, 32
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\motiontype.h", "C++", 0, 12, 6, 3, 21
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\sampletime.cpp", "C++", 0, 24, 0, 7, 31
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\sampletime.h", "C++", 0, 19, 6, 4, 29
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\speedprofile.cpp", "C++", 0, 191, 31, 30, 252
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\motion\speedprofile.h", "C++", 0, 66, 10, 16, 92
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\stepper\step.h", "C++", 0, 6, 6, 2, 14
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\stepper\stepbuffer.cpp", "C++", 0, 53, 19, 15, 87
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\stepper\stepbuffer.h", "C++", 0, 23, 20, 9, 52
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\stepper\stepsignals.cpp", "C++", 0, 44, 2, 7, 53
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\stepper\stepsignals.h", "C++", 0, 21, 6, 4, 31
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\switchesbuttons\debouncedswitch.h", "C++", 0, 19, 6, 6, 31
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\switchesbuttons\switches.cpp", "C++", 0, 75, 19, 15, 109
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\switchesbuttons\switches.h", "C++", 0, 21, 16, 8, 45
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\switchesbuttons\switchesinterface.h", "C++", 0, 14, 6, 4, 24
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\timers\timers.h", "C++", 0, 10, 15, 8, 33
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\timers\timers_MK64FX512_MK66FX1M0.cpp", "C++", 0, 42, 12, 14, 68
"c:\Users\Pascal\Documents\GitHub\Moovr\lib\timers\todo.md", "Markdown", 1, 0, 0, 0, 1
"Total", "-", 7, 2388, 464, 480, 3339
